code,description_en,description_uk,parent_code
YNRP,Children’s / Teenage general interest: Islam,Загальні зацікавлення дітей/підлітків: Іслам,YNR
YNRR,"Children’s / Teenage general interest: Spiritual beliefs, religions, sacred histories and traditions of specific cultures or groups",Загальні зацікавлення дітей/підлітків: Інші релігії та духовні традиції,YNR
YNRU,"Children’s / Teenage general interest: Ancient religions, Mythology and legends","Загальні зацікавлення дітей/підлітків: Стародавні релігії, міфологія та легенди",YNR
YNRX,"Children’s / Teenage general interest: Religious texts, prayers and devotional material","Загальні зацікавлення дітей/підлітків: Релігійні тексти, молитви та проповіді",YNR
YNRY,"Children’s / Teenage general interest: Stories taken from sacred texts, sacred histories or religious traditions","Children’s / Teenage general interest: Stories taken from sacred texts, sacred histories or religious traditions",YNR
YNT,Children’s / Teenage general interest: Science and technology,Загальні зацікавлення дітей/підлітків: Наука і техніка,YN
YNTA,Children’s / Teenage general interest: Science: The human body,Загальні зацікавлення дітей/підлітків: Наука: людське тіло,YNT
YNTC,Children’s / Teenage general interest: Computing and Information Technology,Загальні зацікавлення дітей/підлітків: Обчислювальна техніка та інформаційні технології,YNT
YNTC1,Children’s / Teenage general interest: Programming and scripting languages,Загальні зацікавлення дітей/підлітків: Програмування та мови програмування,YNTC
YNTC2,Children’s / Teenage general interest: Social media,Загальні зацікавлення дітей/підлітків: Соціальні мережі,YNTC
YNTD,"Children’s / Teenage general interest: Inventors, inventions and experiments","Загальні зацікавлення дітей/підлітків: Винахідники, винаходи та експерименти",YNT
YNTE,"Children’s / Teenage general interest: Science: Motion, sound, light, energy","Children’s / Teenage general interest: Science: Motion, sound, light, energy",YNT
YNTF,"Children’s / Teenage general interest: Science: the Elements, crystals, chemistry experiments","Children’s / Teenage general interest: Science: the Elements, crystals, chemistry experiments",YNT
YNTG,Children’s / Teenage general interest: Machines and how things work,Загальні зацікавлення дітей/підлітків: Техніка та принципи її роботи,YNT
YNTM,Children’s / Teenage general interest: Mathematics and numbers,Загальні зацікавлення дітей/підлітків: Математика та цифри,YNT
YNTP,"Children’s / Teenage general interest: Architecture, buildings and construction",Загальні зацікавлення дітей/підлітків: Будинки та будівництво,YNT
YNTR,Children’s / Teenage general interest: Transport and vehicles,Загальні зацікавлення дітей/підлітків: Транспорт і транспортні засоби,YNT
YNTT,Children’s / Teenage general interest: Time travel / Time slip,Загальні зацікавлення дітей/підлітків: Подорож у часі,YNT
YNU,Children’s / Teenage general interest: Humour and jokes,Загальні зацікавлення дітей/підлітків: Гумор і жарти,YN
YNUC,Children’s / Teenage general interest: Humour: Funny cartoons and comic strips,Загальні зацікавлення дітей/підлітків: Мультфільми і комікси,YNU
YNV,"Children’s / Teenage general interest: Hobbies, quizzes, toys and games","Загальні зацікавлення дітей/підлітків: Хобі, вікторини, іграшки та ігри",YN
YNVD,Children’s / Teenage general interest: Toys,Загальні зацікавлення дітей/підлітків: Іграшки,YNV
YNVD1,"Children’s / Teenage general interest: Dolls, figures and similar toys","Загальні зацікавлення дітей/підлітків: Ляльки, фігурки та подібні іграшки",YNVD
YNVD2,Children’s / Teenage general interest: Stuffed or soft toys,Загальні зацікавлення дітей/підлітків: М’які іграшки,YNVD
YNVD3,"Children’s / Teenage general interest: Building bricks, blocks and construction toys","Загальні зацікавлення дітей/підлітків: Будівельна цегла, блоки і будівельні іграшки",YNVD
YNVM,Children’s / Teenage general interest: Games,Загальні зацікавлення дітей/підлітків: Ігри,YNV
YNVP,Children’s / Teenage general interest: Puzzles and quizzes,Загальні зацікавлення дітей/підлітків: Головоломки та вікторини,YNV
YNVU,Children’s / Teenage general interest: Computer and video games,Загальні зацікавлення дітей/підлітків: Комп’ютерні та відеоігри,YNV
YNW,Children’s / Teenage general interest: Sports and outdoor recreation,Загальні зацікавлення дітей/підлітків: Спорт та відпочинок на природі,YN
YNWA,Children’s / Teenage general interest: Sporting events,Children’s / Teenage general interest: Sporting events,YNW
YNWD,Children’s / Teenage general interest: Ball games and sports,Загальні зацікавлення дітей/підлітків: Ігри з м’ячем та спорт,YNW
YNWD1,Children’s / Teenage general interest: Ball games and sports: Association football (Soccer),Загальні зацікавлення дітей/підлітків: Ігри з м’ячем та спорт: Асоціація футболу (футбол),YNWD
YNWD2,Children’s / Teenage general interest: Ball games and sports: American Football,Загальні зацікавлення дітей/підлітків: Ігри з м’ячем та спорт: Американський футбол,YNWD
YNWD3,Children’s / Teenage general interest: Ball games and sports: Baseball and Softball,Загальні зацікавлення дітей/підлітків: Ігри з м’ячем та спорт: Бейсбол та софтбол,YNWD
YNWD4,Children’s / Teenage general interest: Ball games and sports: Basketball,Загальні зацікавлення дітей/підлітків: Ігри з м’ячем та спорт: Баскетбол,YNWD
YNWD5,Children’s / Teenage general interest: Ball games and sports: Cricket,Загальні зацікавлення дітей/підлітків: Ігри з м’ячем та спорт: Крикет,YNWD
YNWD6,Children’s / Teenage general interest: Ball games and sports: Volleyball,Загальні зацікавлення дітей/підлітків: Ігри з м’ячем та спорт: Волейбол,YNWD
YNWD7,Children’s / Teenage general interest: Ball games and sports: Rugby,Загальні зацікавлення дітей/підлітків: Ігри з м’ячем та спорт: Регбі,YNWD
YNWD8,Children’s / Teenage general interest: Ball games and sports: Handball,Загальні зацікавлення дітей/підлітків: Ігри з м’ячем та спорт: Гандбол,YNWD
YNWG,Children’s / Teenage general interest: Athletics and gymnastics,Загальні зацікавлення дітей/підлітків: Легка атлетика та гімнастика,YNW
YNWJ,Children’s / Teenage general interest: Martial arts,Children’s / Teenage general interest: Martial arts,YNW
YNWK,Children’s / Teenage general interest: Tennis and other racket sports,Children’s / Teenage general interest: Tennis and other racket sports,YNW
YNWM,Children’s / Teenage general interest: Winter sports,Загальні зацікавлення дітей/підлітків: Зимові види спорту,YNW
YNWM1,Children’s / Teenage general interest: Winter sports: Skiing,Загальні зацікавлення дітей/підлітків: Зимові види спорту: катання на лижах,YNWM
YNWM2,Children’s / Teenage general interest: Winter sports: Ice hockey,Загальні зацікавлення дітей/підлітків: Зимові види спорту: хокей,YNWM
YNWP,Children’s / Teenage general interest: Camping and active outdoor pursuits,Children’s / Teenage general interest: Camping and active outdoor pursuits,YNW
YNWT,Children’s / Teenage general interest: Vehicle sports,Children’s / Teenage general interest: Vehicle sports,YNW
YNWW,"Children’s / Teenage general interest: Swimming and boat, paddle and other water sports and activities",Загальні зацікавлення дітей/підлітків: Плавання та водні види спорту,YNW
YNWY,"Children’s / Teenage general interest: Cycling, rollerskating and skateboarding","Загальні зацікавлення дітей/підлітків: Велоспорт, катання на роликових ковзанах та скейтборді",YNW
YNWZ,Children’s / Teenage general interest: Sports teams and clubs,Загальні зацікавлення дітей/підлітків: Спортивні команди та клуби,YNW
YNX,Children’s / Teenage general interest: Mysteries and the unexplained,Загальні зацікавлення дітей/підлітків: Загадки та незрозумілі речі,YN
YNXB,Children’s / Teenage general interest: Supernatural and mythological creatures,Загальні зацікавлення дітей/підлітків: Надприродні та міфологічні істоти,YNX
YNXB1,Children’s / Teenage general interest: Dragons,Загальні зацікавлення дітей/підлітків: Дракони,YNXB
YNXB2,"Children’s / Teenage general interest: Vampires, werewolves and shapeshifters","Загальні зацікавлення дітей/підлітків: Вампіри, перевертні та перевтілені істоти",YNXB
YNXB3,"Children’s / Teenage general interest: Zombies, ghosts and the undead","Загальні зацікавлення дітей/підлітків: Зомбі, привиди та мертвяки",YNXB
YNXB4,"Children’s / Teenage general interest: Fairies, elves, or similar magic-like beings or folk","Загальні зацікавлення дітей/підлітків: Феї, ельфи тощо",YNXB
YNXB5,Children’s / Teenage general interest: Unicorns,Загальні зацікавлення дітей/підлітків: Єдинороги,YNXB
YNXB6,Children’s / Teenage general interest: Mermaids / mermen / merfolk,Загальні зацікавлення дітей/підлітків: Русалки/Мерфолк,YNXB
YNXB7,"Children’s / Teenage general interest: Giants, trolls and other mythical humanoids","Children’s / Teenage general interest: Giants, trolls and other mythical humanoids",YNXB
YNXF,Children’s / Teenage general interest: UFOs and extraterrestrial beings,Загальні зацікавлення дітей/підлітків: НЛО та позаземні істоти,YNX
YNXW,"Children’s / Teenage general interest: Witches, wizards and magicians","Загальні зацікавлення дітей/підлітків: Відьми, чаклуни та фокусники",YNX
YP,Educational material,Освітній (навчальний) матеріал,Y
YPA,"Educational: Arts, general",Освіта: Мистецтво загалом,YP
YPAB,Educational: Art and design,Освіта: Мистецтво та дизайн,YPA
YPAD,Educational: Music,Освіта: Музика,YPA
YPAF,Educational: Drama and performance arts,Освіта: Драматичне та виконавське мистецтво,YPA
YPAG,Educational: Fashion and textile,Освіта: Мода та текстиль,YPA
YPAK,Educational: Handicrafts,Освіта: Рукоділля,YPA
YPC,"Educational: Language, literature and literacy","Освіта: Мова, література і грамотність",YP
YPCA,Educational: First / native language,Освіта: Перша/рідна мова,YPC
YPCA1,Educational: First / native language: Basic literacy,Освіта: Перша/рідна мова: базова грамотність,YPCA
YPCA2,Educational: First / native language: Reading and writing skills,Освіта: Перша/рідна мова: навички читання та письма,YPCA
YPCA21,Educational: First / native language: Readers and reading schemes,Освіта: Перша/рідна мова: читачі та схеми читання,YPCA2
YPCA22,Educational: First / native language: Handwriting skills,Освіта: Перша/рідна мова: каліграфія,YPCA2
YPCA23,Educational: First / native language: Spelling and vocabulary,Освіта: Перша/рідна мова: орфографія та словниковий запас,YPCA2
YPCA24,Educational: First / native language: Reading and writing skills: Phonics,Educational: First / native language: Reading and writing skills: Phonics,YPCA2
YPCA4,Educational: First / native language: Grammar and punctuation,Освіта: Перша/рідна мова: граматика та пунктуація,YPCA
YPCA5,Educational: First / native language: Speaking skills,Освіта: Перша/рідна мова: мовленнєві навички,YPCA
YPCA9,Educational: First / native language: Literature studies,Освіта: Перша/рідна мова: літературознавство,YPCA
YPCA91,Educational: First / native language: School editions of literature texts,Освіта: Перша/рідна мова: шкільні видання літературних текстів,YPCA9
YPCK,Educational: Modern (non-native or second) languages,"Освіта: Сучасні (нерідні, другі) мови",YPC
YPCK2,Educational: Modern (non-native or second) languages: Language learning,"Освіта: Сучасні (нерідні, другі) мови: вивчення мови",YPCK
YPCK21,"Educational: Modern (non-native or second) languages: Language learning: grammar, vocabulary and pronunciation","Освіта: Сучасні (нерідні, другі) мови: вивчення мови: граматика, словниковий запас і вимова",YPCK2
YPCK22,Educational: Modern (non-native or second) languages: Language learning: readers,"Освіта: сучасні (нерідні, другі) мови: вивчення мови: читачі",YPCK2
YPCK9,Educational: Modern (non-native or second) languages: Literature studies,"Освіта: Сучасні (нерідні, другі) мови: вивчення мови: літературознавство",YPCK
YPCK91,Educational: Modern (non-native or second) languages: School editions of literature texts,"Освіта: Сучасні (нерідні, другі) мови: вивчення мови: шкільні видання літературних текстів",YPCK9
YPCS,Educational: Classical and ancient languages,Освіта: класичні та давні мови,YPC
YPCS4,Educational: Classical and ancient languages: Language learning,Освіта: Класичні та давні мови: вивчення мови,YPCS
YPCS9,Educational: Classical and ancient languages: Literature studies,Освіта: Класичні та давні мови: вивчення мови: літературознавство,YPCS
YPCS91,Educational: Classical and ancient languages: School editions of classical texts,Освіта: Класичні та давні мови: вивчення мови: шкільні видання літературних текстів,YPCS9
YPJ,"Educational: Humanities and social sciences, general",Освіта: Гуманітарні та соціальні науки загалом,YP
YPJH,Educational: History,Освіта: Історія,YPJ
YPJJ,"Educational: Social sciences, social studies","Освіта: Соціальні науки, суспільствознавство",YPJ
YPJJ1,Educational: Politics and constitution,Освіта: Політика та конституція,YPJJ
YPJJ3,Educational: Citizenship and social education,Освіта: Громадянство та соціальне виховання,YPJJ
YPJJ4,Educational: Local / integrated studies,Місцеві інтегровані дослідження сфери освіти (освітологія),YPJJ
YPJJ5,Educational: Psychology,Психологія навчання,YPJJ
YPJJ6,Educational: Personal and health education,Особиста і медична освіта,YPJJ
YPJK,Educational: Media studies,Освітні медіа-дослідження,YPJ
YPJL,Educational: Philosophy and ethics,Філософія та етика освіти,YPJ
YPJM,Educational: Law / legal studies,Освітнє законодавство,YPJ
YPJN,Educational: Religious studies,Освіта: релігієзнавство,YPJ
YPJN1,Educational: Religious studies: Hinduism,Освіта: релігієзнавство: індуїзм,YPJN
YPJN2,Educational: Religious studies: Buddhism,Освіта: релігієзнавство: буддизм,YPJN
YPJN3,Educational: Religious studies: Judaism,Освіта: релігієзнавство: іудаїзм,YPJN
YPJN4,Educational: Religious studies: Christianity,Освіта: релігієзнавство: християнство,YPJN
YPJN5,Educational: Religious studies: Islam,Освіта: релігієзнавство: іслам,YPJN
YPJN9,Educational: Religious studies: religions or belief systems of specific cultures or groups,Освіта: релігієзнавство: інші релігії,YPJN
YPJT,Educational: Geography,Освіта:Ггеографія,YPJ
YPJV,Educational: Business studies and economics,Освіта: Економіка і підприємництво,YPJ
YPJV1,Educational: Economics,Освіта: Економіка,YPJV
YPJV2,Educational: Business administration and office skills,Освіта: Навички ділового адміністрування,YPJV
YPJV3,Educational: Accounting,Освіта: Бухгалтерський облік,YPJV
YPJX,Educational: Cultural studies,Educational: Cultural studies,YPJ
YPM,"Educational: Mathematics, science and technology, general","Освіта: Математика, наука і техніка загалом",YP
YPMF,Educational: Mathematics and numeracy,Освіта: Математика і числення,YPM
YPMF1,Educational: Mathematics and numeracy: arithmetic / times tables,Освіта: Математика і числення: арифметика / таблиці часу,YPMF
YPMF2,Educational: Mathematics and numeracy: algebra,Educational: Mathematics and numeracy: algebra,YPMF
YPMF3,Educational: Mathematics and numeracy: geometry,Educational: Mathematics and numeracy: geometry,YPMF
YPMP,"Educational: Sciences, general science","Освіта: Науки, наука загалом",YPM
YPMP1,Educational: Biology,Освіта: Біологія,YPMP
YPMP3,Educational: Chemistry,Освіта: Хімія,YPMP
YPMP5,Educational: Physics,Освіта: Фізика,YPMP
YPMP51,Educational: Astronomy,Освіта: Астрономія,YPMP5
YPMP6,Educational: Environmental science,Освіта: Екологічна наука,YPMP
YPMP7,Educational: Earth sciences,Educational: Earth sciences,YPMP
YPMT,Educational: Technology,Освіта: Технології,YPM
YPMT2,Educational: Design and technology,Освіта: Дизайн і технології,YPMT
YPMT3,Educational: Engineering,Освіта: Інженерія,YPMT
YPMT4,"Educational: Food technology, cooking skills","Освіта: Харчові технології, кулінарні навички",YPMT
YPMT5,Educational: Electronics,Освіта: Електроніка,YPMT
YPMT6,"Educational: IT and computing, ICT",Освіта: ІТ та обчислювальна техніка. Інформаційно-комунікаційні технології (ІКТ) в освіті,YPMT
YPMT7,Educational: Technical drawing,Освіта: Технічне креслення,YPMT
YPMT8,"Educational: Woodwork, metalwork, etc","Освіта: Вироби з дерева, металоконструкції тощо",YPMT
YPW,Educational: Vocational and other subjects,Освіта: Професійна освіта та інші теми,YP
YPWB,Educational: Family and consumer sciences / domestic management,Освіта в галузі сімейних та споживчих наук / побутовий менеджмент (управління домогосподарством),YPW
YPWC,Educational: Other vocational education and training,Освіта: Інша професійна освіта та навчання,YPW
YPWC1,Educational: Health and social care,Освіта: Охорона здоров’я та соціальна допомога,YPWC
YPWC2,Educational: Child care / Child development,Освіта: Догляд за дитиною / Розвиток дитини,YPWC
YPWC3,Educational: Sales and retail skills,Освіта: Навички продажу та роздрібної торгівлі,YPWC
YPWC4,"Educational: Hospitality, catering, leisure and tourism","Освіта: Готельний бізнес, громадське харчування, відпочинок та туризм",YPWC
YPWC5,"Educational: Hairdressing, salon and beauty therapy skills","Освіта: Перукарське мистецтво, косметичні кабінети та салони краси",YPWC
YPWC9,Educational: Work experience / Careers,"Освіта: Досвід роботи, кар’єра",YPWC
YPWD,"Educational: Construction, building and related skills",Освіта: Будівництво та суміжні професії,YPW
YPWE,"Educational: Agriculture, horticulture and related subjects","Освіта: Сільське господарство, садівництво та суміжні галузі",YPW
YPWF,Educational: Physical education,Освіта: Фізичне виховання,YPW
YPWG,"Educational: Transport, logistics and related skills","Освіта: Транспорт, логістика та суміжні галузі",YPW
YPWL,"Educational: General studies, educational skills and competencies","Освіта: Загальні дослідження, освітні вміння та навички, компетенції",YPW
YPWL1,Educational: General knowledge,Освіта: Загальні знання,YPWL
YPWL2,Educational: Study skills,Освіта: Навчальні навички,YPWL
YPWL3,Educational: Memory skills and creative thinking,Освіта: Навички творчого мислення та пам’яті,YPWL
YPWL4,Educational: Social and life skills,Освіта: Життєві та соціальні навички,YPWL
YPWN,Educational: Uniformed public or protective services,Освіта: Служби охорони громадськості,YPW
YPZ,Educational: Study and revision guides,Освіта: Навчальні та довідкові посібники,YP
YPZH,Educational: School holiday / vacation workbook,Educational: School holiday / vacation workbook,YPZ
YPZN,Educational: Non-Verbal reasoning / visual reasoning,Освіта: Невербальне мислення,YPZ
YPZP,Educational: Verbal reasoning,Освіта: Вербальне мислення,YPZ
YR,Children’s / Teenage reference material,Дитячий / підлітковий довідковий матеріал,Y
YRD,Children’s / Teenage reference: Dictionaries and Languages,Довідники для дітей та підлітків: Словники та мови,YR
YRDC,Children’s / Teenage reference: Picture dictionaries,Довідники для дітей та підлітків: Словники із зображеннями,YRD
YRDL,Children’s / Teenage reference: Bilingual / multilingual dictionaries,Довідники для дітей та підлітків: Двомовні / багатомовні словники,YRD
YRDM,Children’s / Teenage reference: Non-native or second language study and reference,Довідники для дітей та підлітків: Дослідження та довідники про нерідну (другу) мову,YRD
YRE,"Children’s / Teenage reference: Encyclopaedias, general reference","Довідники для дітей та підлітків: Енциклопедії, загальні довідники",YR
YRG,Children’s / Teenage reference: Subject-specific reference,Довідники для дітей та підлітків: Тематичні довідники,YR
YRW,Children’s / Teenage reference: Atlases and maps,Довідники для дітей та підлітків: Атласи та карти,YR
YX,Children’s / Teenage: Personal and social topics,Діти/підлітки: Особисті та соціальні теми,Y
YXA,Children’s / Teenage personal and social topics: Body and health,Особисті та соціальні теми дітей/підлітків: Тіло та здоров’я,YX
YXAB,"Children’s / Teenage personal and social topics: Fitness, exercise and healthy eating","Особисті та соціальні теми дітей/підлітків: Фітнес, фізичні вправи і здорове харчування",YXA
YXAD,"Children’s / Teenage personal and social topics: Yoga, meditation, mindfulness","Children’s / Teenage personal and social topics: Yoga, meditation, mindfulness",YXA
YXAM,Children’s / Teenage personal and social topics: Hair and hair care,Children’s / Teenage personal and social topics: Hair and hair care,YXA
YXAX,Children’s / Teenage personal and social topics: Sex education and the facts of life,Особисті та соціальні теми дітей/підлітків: Статеве виховання та факти з життя,YXA
YXAX1,Children’s / Teenage personal and social topics: puberty,Children’s / Teenage personal and social topics: puberty,YXAX
YXB,Children’s / Teenage personal and social topics: LGBTQIA+,Особисті та соціальні теми дітей/підлітків: ЛГБТ,YX
YXBD,Children’s / Teenage: LGBTQIA+: Coming out,Children’s / Teenage: LGBTQIA+: Coming out,YXB
YXC,Children’s / Teenage personal and social topics: Gender identity,Особисті та соціальні теми дітей/підлітків: Гендерна ідентичність,YX
YXD,Children’s / Teenage personal and social topics: Self-awareness and self-esteem,Особисті та соціальні теми дітей/підлітків: Самосвідомість та самооцінка,YX
YXE,"Children’s / Teenage personal and social topics: Emotions, moods, feelings and behaviours","Особисті та соціальні теми дітей/підлітків: Емоції, настрої та почуття",YX
YXEB,"Children’s / Teenage emotions: Anger, frustration","Children’s / Teenage emotions: Anger, frustration",YXE
YXED,"Children’s / Teenage emotions: Sadness, unhappiness, disappointment","Children’s / Teenage emotions: Sadness, unhappiness, disappointment",YXE
YXEF,"Children’s / Teenage emotions: Worry, fear","Children’s / Teenage emotions: Worry, fear",YXE
YXEH,"Children’s / Teenage emotions: Loneliness, isolation","Children’s / Teenage emotions: Loneliness, isolation",YXE
YXEJ,"Children’s / Teenage emotions: Compassion, empathy, kindness","Children’s / Teenage emotions: Compassion, empathy, kindness",YXE
YXEL,"Children’s / Teenage emotions: Courage, bravery, hope","Children’s / Teenage emotions: Courage, bravery, hope",YXE
YXEN,"Children’s / Teenage emotions: Happiness, joy","Children’s / Teenage emotions: Happiness, joy",YXE
YXET,Children’s / Teenage emotions: Mischief and mischievous behaviour,Children’s / Teenage emotions: Mischief and mischievous behaviour,YXE
YXF,Children’s / Teenage personal and social topics: Families and family members,Особисті та соціальні теми дітей/підлітків:Сім’ї та члени сім’ї,YX
YXFB,Children’s / Teenage personal and social topics: Parents,Children’s / Teenage personal and social topics: Parents,YXF
YXFC,Children’s / Teenage personal and social topics: Grandparents,Children’s / Teenage personal and social topics: Grandparents,YXF
YXFD,"Children’s / Teenage personal and social topics: Divorce, separation, family break-up","Особисті та соціальні теми дітей/підлітків: Розлучення, розпад сім’ї",YXF
YXFF,Children’s / Teenage personal and social topics: Adoption / fostering,Особисті та соціальні теми дітей/підлітків:: Усиновлення / виховання,YXF
YXFR,Children’s / Teenage personal and social topics: Siblings,Особисті та соціальні теми дітей/підлітків:Брати та сестри,YXF
YXFS,Children’s / Teenage personal and social topics: New baby,Особисті та соціальні теми дітей/підлітків: Нова дитина,YXF
YXG,Children’s / Teenage personal and social topics: Death and grief,Особисті та соціальні теми дітей/підлітків: Смерть та втрата,YX
YXGS,Children’s / Teenage personal and social topics: Suicide,Особисті та соціальні теми дітей/підлітків:: Самогубство,YXG
YXH,Children’s / Teenage personal and social topics: Relationships (non-family / groups),Особисті та соціальні теми дітей/підлітків: Несімейні стосунки,YX
YXHB,Children’s / Teenage personal and social topics: Friends and friendships,Особисті та соціальні теми дітей/підлітків: Друзі і дружба,YXH
YXHL,"Children’s / Teenage personal and social topics: Dating, relationships, romance and love","Особисті та соціальні теми дітей/підлітків: Побачення, взаємини, романтичні стосунки та кохання",YXH
YXHP,Children’s / Teenage personal and social topics: Life skills and choices,Особисті та соціальні теми дітей/підлітків: Життєві навички та вибір,YXH
YXHY,Children’s / Teenage personal and social topics: Teenage pregnancy,Особисті та соціальні теми дітей/підлітків:Підліткова вагітність,YXH
YXJ,Children’s / Teenage personal and social topics: Drugs and addiction,Особисті та соціальні теми дітей/підлітків: Наркотики і наркоманія,YX
YXK,"Children’s / Teenage personal and social topics: Disability, impairments and special needs","Особисті та соціальні теми дітей/підлітків: Інвалідність, порушення та особливі потреби",YX
YXL,Children’s / Teenage personal and social topics: Physical and mental health conditions,Особисті та соціальні теми дітей/підлітків:Фізичний та психічний стан здоров’я,YX
YXLB,Children’s / Teenage personal and social topics: Illness and specific physical health conditions,Особисті та соціальні теми дітей/підлітків: Хвороба та специфічні умови фізичного здоров’я,YXL
YXLB1,Children’s / Teenage personal and social topics: Cancer,Особисті та соціальні теми дітей/підлітків: Рак,YXLB
YXLD,Children’s / Teenage personal and social topics: Mental health and mental wellbeing,Особисті та соціальні теми дітей/підлітків: Психічне здоров’я,YXL
YXLD1,Children’s / Teenage personal and social topics: Eating disorders and body image,Особисті та соціальні теми дітей/підлітків: Розлад харчової поведінки,YXLD
YXLD2,"Children’s / Teenage personal and social topics: Anxiety, depression and self-harm",Особисті та соціальні теми дітей/підлітків:,YXLD
YXLD6,Children’s / Teenage personal and social topics: Positive / good mental health,Особисті та соціальні теми дітей/підлітків: Позитивне / хороше психічне здоров’я,YXLD
YXM,Children’s / Teenage personal and social topics: Multicultural,Особисті та соціальні теми дітей/підлітків: Полікультурний,YX
YXN,Children’s / Teenage personal and social topics: Racism and anti-racism,Особисті та соціальні теми дітей/підлітків: Расизм,YX
YXP,"Children’s / Teenage personal and social topics: Diversity, equality, equity and inclusion",Особисті та соціальні теми дітей/підлітків: Різноманітність та інклюзія,YX
YXPB,Children’s / Teenage personal and social topics: Prejudice and intolerance,Особисті та соціальні теми дітей/підлітків: Упередження та нетерпимість,YXP
YXQ,"Children’s / Teenage personal and social topics: Bullying, violence, abuse and peer pressure","Особисті та соціальні теми дітей/підлітків: Насильство, жорстоке поводження, булінг та тиск збоку однолітків",YX
YXQD,Children’s / Teenage personal and social topics: Abuse / exploitation,Особисті та соціальні теми дітей/підлітків: Зловживання,YXQ
YXQF,Children’s / Teenage personal and social topics: Bullying and harassment,Особисті та соціальні теми дітей/підлітків: Знущання та переслідування,YXQ
YXQP,Children’s / Teenage personal and social topics: Violence,Children’s / Teenage personal and social topics: Violence,YXQ
YXR,Children’s / Teenage personal and social topics: Personal safety,Особисті та соціальні теми дітей/підлітків: Особиста безпека,YX
YXS,Children’s / Teenage personal and social topics: Runaways,Особисті та соціальні теми дітей/підлітків: Втечі,YX
YXT,"Children’s / Teenage personal and social topics: School, education and teachers",Особисті та соціальні теми дітей/підлітків: Прогули та шкільні проблеми,YX
YXTB,Children’s / Teenage personal and social topics: Truancy and school problems,Children’s / Teenage personal and social topics: Truancy and school problems,YXT
YXV,"Teenage personal and social topics: Advice on careers and further education, leaving school","Особисті та соціальні теми дітей/підлітків: Поради щодо кар’єри та подальшої освіти, закінчення школи",YX
YXW,Children’s / Teenage personal and social topics: First / new experiences and life changes,Особисті та соціальні теми дітей/підлітків: Перший досвід та дорослішання,YX
YXWP,Children’s / Teenage personal and social topics: Growing up / coming of age,Children’s / Teenage personal and social topics: Growing up / coming of age,YXW
YXZ,Children’s / Teenage: Social issues / topics,Діти/підлітки: Соціальні проблеми,YX
YXZB,Children’s / Teenage social topics: Activism / activists,Children’s / Teenage social topics: Activism / activists,YXZ
YXZC,Children’s / Teenage social topics: Identity / belonging,Children’s / Teenage social topics: Identity / belonging,YXZ
YXZD,Children’s / Teenage social topics: Peace / reconciliation,Children’s / Teenage social topics: Peace / reconciliation,YXZ
YXZE,"Children’s / Teenage social topics: Accidents, disasters or emergencies","Children’s / Teenage social topics: Accidents, disasters or emergencies",YXZ
YXZF,"Children’s / Teenage social topics: Fame, celebrity, fandom","Children’s / Teenage social topics: Fame, celebrity, fandom",YXZ
YXZG,"Children’s / Teenage social topics: Environment, sustainability and green issues",Дитячі/ підліткові соціальні проблеми: Довкілля та «зелені» проблеми,YXZ
YXZH,Children’s / Teenage: Social topics: Poverty / precarity,Children’s / Teenage: Social topics: Poverty / precarity,YXZ
YXZM,Children’s / Teenage social topics: Migration / refugees,Дитячі/ підліткові соціальні проблеми: Міграція та біженці,YXZ
YXZR,Children’s / Teenage social topics: Religious issues / debates,Дитячі/ підліткові соціальні проблеми: Релігійні проблеми,YXZ
YXZW,Children’s / Teenage social topics: War and conflict issues,Дитячі/ підліткові соціальні проблеми: Проблеми війни та конфліктів,YXZ
YZ,Children’s / Teenage stationery and miscellaneous items,Дитяче/ підліткове канцелярське приладдя та різноманітні товари,Y
YZG,Children’s / Teenage: Gift and novelty books / items,Дитячі подарункові книги,YZ
YZP,"Children’s / Teenage: Miscellaneous non-book items: Games, puzzles or toys","Children’s / Teenage: Miscellaneous non-book items: Games, puzzles or toys",YZ
YZS,"Children’s / Teenage: Stationery items,",Дитяче канцелярське приладдя,YZ
YZSD,Children’s / Teenage: Printed stationery items: Calendars / diaries,Children’s / Teenage: Printed stationery items: Calendars / diaries,YZS
YZSG,Children’s / Teenage stationery items: Thematic and guided journals and notebooks,Дитяче/ підліткове канцелярське приладдя: тематичні журнали та зошити,YZS
YZSN,Children’s / Teenage: Blank stationery items,"Дитячі канцелярські бланки, шаблони",YZS
YZSP,Children’s / Teenage: Stationery items: art and craft supplies,Children’s / Teenage: Stationery items: art and craft supplies,YZS
1,Place qualifiers,Визначники місця,
1A,World,Світ,1
1D,Europe,Європа,1
1DD,Western Europe,Західна Європа,1D
1DDB,Belgium,Бельґія,1DD
1DDB-BE-B,Brussels,Брюссель,1DDB
1DDB-BE-F,Flanders,Фламандський регіон (Фландрія),1DDB
1DDB-BE-FA,Antwerp (Province),Антверпен (провінція),1DDB-BE-F
1DDB-BE-FAA,Antwerp,Антверпен,1DDB-BE-FA
1DDB-BE-FB,Flemish Brabant,Фламандський Брабант,1DDB-BE-F
1DDB-BE-FBA,Leuven,Левен,1DDB-BE-FB
1DDB-BE-FC,Limburg (BE),Лімбурґ (Бельґія),1DDB-BE-F
1DDB-BE-FCA,Hasselt,Хасселт,1DDB-BE-FC
